日	A	日曰
月金人一木	BCOMD	賖
月金人一火	BCOMF	賒
月金人弓大	BCONK	䞀
月金人心木	BCOPD	䝯
月金人尸	BCOS	䝫
月金心日木	BCPAD	賯
月金心木	BCPD	貤
月金心一一	BCPMM	䝧
月金心口	BCPR	䝭
月金手大日	BCQKA	賰
月金手一月	BCQMB	䝼
月金口	BCR	冏
月金口竹山	BCRHU	貺
月金口中	BCRL	腳
月金口山	BCRU	脫脱
月金口難山	BCRXU	鼆
月金尸日女	BCSAV	䞁
月金尸竹	BCSH	朌
月金尸竹口	BCSHR	𧵓
月金尸十口	BCSJR	䝻
月金尸一竹	BCSMH	賿
月金尸一女	BCSMV	賬
月金尸人卜	BCSOY	䝲
月金廿月金	BCTBC	賟
月金廿金人	BCTCO	贌
月金廿金廿	BCTCT	賹
月金廿戈尸	BCTIS	贜
月金廿十水	BCTJE	䝸
月金廿廿	BCTT	賆
月金廿廿月	BCTTB	購
月金廿田月	BCTWB	贎
月金廿難金	BCTXC	賺
月金女	BCV	嬰
月金卜日十	BCYAJ	𦋐
月金卜月心	BCYBP	贚
月金卜金大	BCYCK	賋
月金卜木山	BCYDU	䞋
月金卜土	BCYG	䝬
月金卜竹弓	BCYHN	貥
月金卜一口	BCYMR	譻
月金卜人十	BCYOJ	賥
月金卜心山	BCYPU	䞊
月金卜口	BCYR	貼
月金卜口火	BCYRF	䝶
月金卜廿口	BCYTR	賠
月金卜女戈	BCYVI	䝮
月金卜女人	BCYVO	賅
月木	BD	采
月木木	BDD	冧
月木木火	BDDF	𦡞
月木竹日火	BDHAF	䳕
月木竹水	BDHE	䏢
月木竹水口	BDHER	嗠
月木竹竹竹	BDHHH	彩
月木竹手山	BDHQU	㲗
月木戈	BDI	肘
月木大	BDK	䏐
月木大尸	BDKS	㔜
月木中	BDL	脨
月木弓中	BDNL	郛
月木人水	BDOE	膝
月木山	BDU	乳
月木田	BDW	腖
月水水水	BEEE	𠖎腏
月水竹日火	BEHAF	鶢䳮
月水戈	BEI	肞
月水弓中	BENL	䣤
月水卜廿十	BEYTJ	辤
月火	BF	炙
月火月	BFB	䏴
月火月金	BFBC	䐝
月火月土	BFBG	膛
月火金月	BFCB	膌
月火木	BFD	冞脒
月火木手	BFDQ	膦
月火火	BFF	腅
月火火尸	BFFS	朥
月火竹	BFH	䏚
月火竹日火	BFHAF	䳿
月火竹木田	BFHDW	㸋
月火竹女火	BFHVF	縣
月火大金火	BFKCF	爒
月火一山	BFMU	胱
月火心	BFP	懸
月火手	BFQ	胖
月火手月	BFQB	㬺幐
月火手金	BFQC	賸
月火手木	BFQD	榺
月火手水	BFQE	滕
月火手火	BFQF	縢騰黱
月火手土	BFQG	塍
月火手戈	BFQI	螣
月火手一	BFQM	腾䲢
月火手口	BFQR	謄
月火手尸	BFQS	勝
月火手山	BFQU	腃
月火手女	BFQV	媵
月火山	BFU	乿
月火山大	BFUK	脳
月土	BG	肚
月土月	BGB	爯䏥
月土土	BGG	胿
月土土山	BGGU	膮
月土竹日火	BGHAF	鸜
月土竹手山	BGHQU	氍
月土戈	BGI	胠
月土戈中	BGIL	脚
月土戈廿	BGIT	䐦
月土心	BGP	㦟䏯
月土口	BGR	周
月土口廿	BGRT	䐍
月土廿水	BGTE	臌
月土廿竹	BGTH	膨
月竹日	BHA	胉
月竹日水	BHAE	腺
月竹日一十	BHAMJ	貋
月竹日心	BHAP	冟
月竹日女	BHAV	貇
月竹日田水	BHAWE	䝢
月竹月大	BHBK	䐿
月竹月山水	BHBUE	貜
月竹月女	BHBV	脓
月竹月女大	BHBVK	貕
月竹木	BHD	䝗
月竹木火	BHDF	䐐
月竹木竹	BHDH	豺
月竹木竹水	BHDHE	䝛
月竹木弓	BHDN	脷
月竹木女	BHDV	腇
月竹木田	BHDW	膰
月竹水十	BHEJ	䏺
月竹水手	BHEQ	胮
月竹水口	BHER	胳
月竹水尸木	BHESD	䝣
月竹火弓	BHFN	爳
月竹火口	BHFR	噕
月竹土	BHG	㸒
月竹土火	BHGF	臐
月竹竹日	BHHA	貃
月竹竹日山	BHHAU	貌
月竹竹月卜	BHHBY	貈
月竹竹水口	BHHER	貉
月竹竹竹	BHHH	肜
月竹竹竹十	BHHHJ	貏
月竹竹十	BHHJ	脾
月竹竹中人	BHHLO	䝖
月竹竹弓水	BHHNE	䝘
月竹竹山十	BHHUJ	䝥
月竹竹女	BHHV	脈
月竹竹田心	BHHWP	貔
月竹竹難山	BHHXU	貎
月竹戈	BHI	𦞙
月竹戈金水	BHICE	䝜
月竹十金	BHJC	貁
月竹十木	BHJD	䏭
月竹十水	BHJE	腶
月竹十土	BHJG	腫
月竹十一	BHJM	腄
月竹十口	BHJR	䏦
月竹十山	BHJU	腯
月竹大金火	BHKCF	䝤
月竹大一口	BHKMR	䝝
月竹中金	BHLC	䑇
月竹中手	BHLQ	貄
月竹中田女	BHLWV	貗
月竹一日	BHMA	貊
月竹一日一	BHMAM	貆
月竹一月金	BHMBC	䫉
月竹一火一	BHMFM	豾
月竹一竹火	BHMHF	䝠
月竹一十	BHMJ	豻
月竹一中	BHML	肵
月竹一人	BHMO	㭀
